Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Minnesota,Male,Smokeless Tobacco Use (Youth),9.9,56,18,30,6,Medium,Low,Active,Professional Help,3,Curiosity,Yes
Hawaii,Female,Cigarette Use (Youth),0.1,36,36,37,5,Low,Medium,Active,Professional Help,5,Family Influence,No
South Carolina,Overall,Smokeless Tobacco Use (Youth),2.5,54,21,12,8,Low,Low,Moderate,None,4,Peer Pressure,No
Virgin Islands,Male,Cigarette Use (Youth),16.2,34,19,19,2,Low,High,Moderate,Professional Help,5,Family Influence,No
North Dakota,Overall,Smokeless Tobacco Use (Youth),17.9,43,16,34,3,Low,Low,Sedentary,Family & Friends,8,Curiosity,No
West Virginia,Overall,Cigarette Use (Youth),16.9,39,28,7,8,Medium,Low,Sedentary,Family & Friends,0,Media Influence,Yes
West Virginia,Male,Cessation (Youth),68.5,25,4,28,9,Low,Medium,Moderate,Family & Friends,2,Peer Pressure,Yes
South Carolina,Overall,Smokeless Tobacco Use (Youth),9.2,50,15,28,7,High,Low,Sedentary,Family & Friends,7,Stress Relief,No
Hawaii,Female,Cigarette Use (Youth),12.2,19,1,29,9,Low,High,Sedentary,None,8,Stress Relief,No
South Carolina,Female,Cigarette Use (Youth),35.0,47,16,37,5,High,Medium,Active,Family & Friends,1,Media Influence,Yes
Minnesota,Male,Cigarette Use (Youth),28.8,37,20,20,2,Medium,Low,Sedentary,None,9,Stress Relief,No
North Dakota,Female,Smokeless Tobacco Use (Youth),4.1,35,33,11,8,Low,High,Sedentary,None,4,Family Influence,No
Minnesota,Male,Cigarette Use (Youth),1.8,27,17,39,8,High,High,Moderate,Professional Help,2,Curiosity,Yes
Minnesota,Overall,Smokeless Tobacco Use (Youth),0.9,41,5,23,5,High,Low,Sedentary,Family & Friends,9,Stress Relief,No
Minnesota,Male,Cigarette Use (Youth),0.3,21,5,20,1,Low,Low,Moderate,None,1,Family Influence,No
South Carolina,Overall,Cessation (Youth),45.9,54,39,20,6,Low,Medium,Sedentary,Professional Help,8,Peer Pressure,No
Connecticut,Male,Cigarette Use (Youth),4.2,21,13,11,8,Medium,High,Active,None,4,Media Influence,No
North Dakota,Overall,Smokeless Tobacco Use (Youth),3.0,30,36,2,8,Medium,High,Moderate,None,8,Peer Pressure,No
West Virginia,Male,Cigarette Use (Youth),3.0,42,30,13,2,Low,High,Sedentary,Professional Help,0,Peer Pressure,Yes
Louisiana,Overall,Cigarette Use (Youth),35.6,30,4,13,1,Medium,Low,Sedentary,None,3,Family Influence,No
New Jersey,Female,Cigarette Use (Youth),0.3,35,23,15,4,Medium,Low,Active,Professional Help,0,Stress Relief,Yes
Arizona,Male,Cigarette Use (Youth),14.9,41,21,31,9,Medium,Low,Sedentary,Family & Friends,4,Family Influence,Yes
New Jersey,Overall,Smokeless Tobacco Use (Youth),0.6,19,21,23,6,Medium,Medium,Active,None,4,Stress Relief,No
Hawaii,Overall,Cessation (Youth),61.3,50,6,22,2,Low,High,Moderate,None,6,Curiosity,No
Minnesota,Female,Smokeless Tobacco Use (Youth),0.2,36,24,16,3,Low,High,Moderate,Family & Friends,6,Media Influence,No
Louisiana,Male,Smokeless Tobacco Use (Youth),18.0,26,31,29,9,High,Low,Sedentary,None,7,Curiosity,No
Louisiana,Female,Smokeless Tobacco Use (Youth),6.2,45,19,20,1,Medium,Medium,Moderate,Professional Help,5,Stress Relief,No
South Carolina,Overall,Cessation (Youth),60.3,52,38,28,9,Low,Medium,Active,Professional Help,9,Stress Relief,No
South Carolina,Male,Cigarette Use (Youth),35.6,56,12,27,1,High,Medium,Active,Professional Help,2,Peer Pressure,Yes
West Virginia,Female,Cigarette Use (Youth),9.7,27,14,29,6,Medium,Medium,Sedentary,None,8,Stress Relief,No
Arizona,Female,Smokeless Tobacco Use (Youth),4.4,18,12,5,1,High,Medium,Active,Family & Friends,4,Peer Pressure,Yes
North Dakota,Male,Smokeless Tobacco Use (Youth),8.0,59,15,38,0,Medium,Low,Active,None,8,Peer Pressure,No
Missouri,Female,Cigarette Use (Youth),0.6,38,19,38,3,Low,Low,Active,Family & Friends,4,Media Influence,Yes
Nebraska,Female,Smokeless Tobacco Use (Youth),1.5,26,28,2,5,High,Low,Sedentary,Family & Friends,2,Stress Relief,Yes
West Virginia,Male,Smokeless Tobacco Use (Youth),15.4,32,5,20,9,Low,High,Moderate,None,6,Curiosity,No
West Virginia,Female,Cigarette Use (Youth),36.4,52,5,13,9,Medium,Medium,Active,Family & Friends,8,Family Influence,No
Minnesota,Male,Smokeless Tobacco Use (Youth),0.1,22,6,26,3,Medium,Medium,Moderate,None,0,Peer Pressure,No
South Carolina,Male,Smokeless Tobacco Use (Youth),1.5,58,23,35,0,Medium,High,Moderate,None,2,Family Influence,No
New Jersey,Female,Smokeless Tobacco Use (Youth),0.8,39,3,8,0,High,Medium,Sedentary,None,6,Peer Pressure,No
West Virginia,Overall,Cessation (Youth),65.2,58,37,28,8,High,Medium,Sedentary,None,8,Curiosity,No
Nebraska,Male,Cessation (Youth),71.7,40,33,15,0,High,Medium,Moderate,Professional Help,3,Peer Pressure,Yes
Arizona,Female,Cigarette Use (Youth),10.7,24,21,8,6,Low,Medium,Sedentary,None,4,Media Influence,No
Louisiana,Overall,Cessation (Youth),57.5,40,20,11,6,High,Medium,Moderate,Professional Help,7,Peer Pressure,No
Connecticut,Female,Cigarette Use (Youth),0.4,42,1,29,0,Medium,Low,Active,None,3,Stress Relief,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),6.0,44,39,5,0,Low,Medium,Moderate,Family & Friends,1,Media Influence,Yes
South Carolina,Female,Cigarette Use (Youth),11.1,58,17,7,5,Medium,Low,Moderate,Professional Help,6,Peer Pressure,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),12.8,23,29,18,7,Medium,Low,Active,None,1,Peer Pressure,No
Missouri,Male,Cigarette Use (Youth),0.4,51,8,28,6,High,Low,Sedentary,None,5,Family Influence,No
Louisiana,Male,Cigarette Use (Youth),1.8,26,26,12,5,High,Low,Moderate,Family & Friends,6,Peer Pressure,No
Connecticut,Male,Smokeless Tobacco Use (Youth),0.9,50,28,12,9,High,High,Sedentary,Family & Friends,7,Media Influence,No
Minnesota,Female,Smokeless Tobacco Use (Youth),1.6,23,34,36,2,Medium,Low,Active,None,4,Peer Pressure,No
South Carolina,Overall,Cigarette Use (Youth),3.3,54,26,29,6,Low,High,Moderate,Family & Friends,0,Family Influence,Yes
Missouri,Female,Smokeless Tobacco Use (Youth),2.1,48,13,11,5,High,High,Moderate,Family & Friends,2,Curiosity,Yes
South Carolina,Male,Cessation (Youth),58.8,51,37,6,7,High,Low,Moderate,Professional Help,9,Family Influence,No
Hawaii,Male,Cigarette Use (Youth),3.3,58,13,21,3,Low,Medium,Moderate,Family & Friends,8,Family Influence,No
North Dakota,Male,Cigarette Use (Youth),0.3,46,38,10,8,Medium,Medium,Sedentary,Family & Friends,5,Peer Pressure,No
West Virginia,Overall,Cigarette Use (Youth),4.5,31,25,32,0,Medium,Low,Sedentary,Professional Help,4,Curiosity,Yes
Minnesota,Female,Cigarette Use (Youth),27.0,53,23,33,6,Low,Low,Active,None,0,Media Influence,No
Connecticut,Male,Cigarette Use (Youth),16.1,53,22,17,8,High,High,Sedentary,Professional Help,3,Media Influence,Yes
Hawaii,Overall,Cigarette Use (Youth),1.6,32,21,3,9,Low,High,Moderate,Family & Friends,4,Stress Relief,Yes
Hawaii,Overall,Smokeless Tobacco Use (Youth),0.1,25,30,18,0,High,Medium,Active,Professional Help,1,Family Influence,Yes
South Carolina,Male,Cigarette Use (Youth),3.9,43,11,10,9,Low,High,Moderate,Family & Friends,4,Family Influence,Yes
Virgin Islands,Overall,Cigarette Use (Youth),3.1,53,4,39,2,Medium,High,Moderate,Professional Help,2,Stress Relief,Yes
Connecticut,Female,Smokeless Tobacco Use (Youth),0.3,38,33,8,6,Medium,Low,Active,Professional Help,7,Peer Pressure,No
North Dakota,Overall,Cessation (Youth),45.7,45,12,34,8,Medium,High,Moderate,None,9,Media Influence,No
North Dakota,Female,Cigarette Use (Youth),0.1,21,9,37,0,Medium,High,Moderate,Family & Friends,0,Media Influence,Yes
West Virginia,Female,Smokeless Tobacco Use (Youth),5.5,33,32,33,5,Low,High,Active,Professional Help,3,Stress Relief,Yes
West Virginia,Overall,Smokeless Tobacco Use (Youth),4.3,39,11,10,1,Low,Medium,Sedentary,Professional Help,8,Stress Relief,No
New Jersey,Overall,Cigarette Use (Youth),0.7,29,37,18,4,High,Low,Active,Family & Friends,0,Stress Relief,Yes
Hawaii,Female,Cigarette Use (Youth),1.5,33,24,25,6,Low,Medium,Active,Professional Help,5,Curiosity,No
Minnesota,Female,Smokeless Tobacco Use (Youth),0.3,57,7,36,6,High,Low,Active,None,5,Family Influence,No
North Dakota,Female,Smokeless Tobacco Use (Youth),1.8,55,8,2,9,Low,Low,Sedentary,Family & Friends,1,Media Influence,Yes
Missouri,Male,Cigarette Use (Youth),3.3,59,33,19,6,Low,High,Active,None,0,Peer Pressure,No
South Carolina,Overall,Smokeless Tobacco Use (Youth),9.1,54,25,10,3,Low,Medium,Sedentary,Family & Friends,0,Curiosity,Yes
Minnesota,Overall,Cigarette Use (Youth),9.7,46,1,3,5,Low,Medium,Moderate,None,9,Family Influence,No
Hawaii,Female,Smokeless Tobacco Use (Youth),0.1,35,3,19,9,Medium,High,Active,Family & Friends,4,Curiosity,Yes
Minnesota,Female,Cigarette Use (Youth),2.3,27,28,26,5,Low,Medium,Moderate,Professional Help,4,Family Influence,Yes
North Dakota,Female,Cigarette Use (Youth),2.7,59,33,25,6,High,Low,Moderate,Family & Friends,9,Stress Relief,No
New Jersey,Male,Smokeless Tobacco Use (Youth),5.1,56,1,17,8,Medium,Low,Sedentary,Professional Help,6,Peer Pressure,No
Connecticut,Female,Cigarette Use (Youth),2.7,35,38,10,5,Low,Low,Moderate,None,8,Stress Relief,No
South Carolina,Male,Smokeless Tobacco Use (Youth),12.3,18,27,11,9,Low,High,Moderate,Professional Help,3,Media Influence,Yes
Louisiana,Female,Cigarette Use (Youth),12.5,56,38,11,0,High,Medium,Active,None,3,Media Influence,No
Louisiana,Female,Smokeless Tobacco Use (Youth),0.0,38,35,12,7,Medium,Low,Moderate,Professional Help,6,Media Influence,No
Hawaii,Male,Cigarette Use (Youth),21.6,18,10,8,1,Medium,High,Active,None,8,Media Influence,No
Hawaii,Overall,Smokeless Tobacco Use (Youth),3.2,32,12,24,2,Medium,Low,Moderate,Family & Friends,6,Curiosity,No
Missouri,Female,Smokeless Tobacco Use (Youth),0.2,21,10,14,4,Medium,Low,Sedentary,Family & Friends,7,Peer Pressure,No
New Jersey,Overall,Cessation (Youth),53.6,37,34,23,5,High,Medium,Moderate,Professional Help,9,Peer Pressure,No
Hawaii,Overall,Smokeless Tobacco Use (Youth),1.0,27,24,36,6,Low,High,Sedentary,Family & Friends,6,Media Influence,No
Nebraska,Overall,Smokeless Tobacco Use (Youth),5.3,40,28,17,3,Low,Low,Active,Professional Help,8,Family Influence,No
Minnesota,Male,Smokeless Tobacco Use (Youth),19.0,58,22,5,2,Medium,Low,Active,None,5,Stress Relief,No
North Dakota,Male,Cessation (Youth),52.4,51,16,3,8,High,High,Moderate,None,8,Media Influence,No
South Carolina,Female,Cigarette Use (Youth),16.2,50,13,9,3,Low,High,Moderate,Family & Friends,2,Family Influence,Yes
Nebraska,Overall,Cigarette Use (Youth),24.3,51,36,20,8,Medium,Medium,Active,Family & Friends,3,Peer Pressure,Yes
Connecticut,Male,Smokeless Tobacco Use (Youth),2.4,56,36,20,8,Medium,Low,Active,Professional Help,8,Stress Relief,No
West Virginia,Female,Cigarette Use (Youth),16.7,27,23,19,2,High,Medium,Active,Professional Help,1,Peer Pressure,Yes
Minnesota,Female,Cigarette Use (Youth),1.8,37,14,21,2,High,Low,Sedentary,None,1,Peer Pressure,No
Louisiana,Female,Smokeless Tobacco Use (Youth),0.3,18,32,16,7,High,Medium,Moderate,None,9,Curiosity,No
West Virginia,Male,Cigarette Use (Youth),36.3,30,3,33,0,Medium,Low,Active,Professional Help,7,Stress Relief,No
North Dakota,Overall,Cigarette Use (Youth),9.0,18,27,5,5,High,High,Active,Family & Friends,9,Curiosity,No
Louisiana,Male,Cigarette Use (Youth),17.7,22,19,24,5,Medium,Medium,Moderate,Family & Friends,5,Media Influence,No
South Carolina,Female,Smokeless Tobacco Use (Youth),5.9,33,22,15,8,Low,High,Moderate,Professional Help,4,Stress Relief,Yes
Minnesota,Overall,Cigarette Use (Youth),3.0,32,1,26,1,Medium,Low,Sedentary,Professional Help,1,Family Influence,Yes
Missouri,Male,Smokeless Tobacco Use (Youth),8.5,45,5,25,7,Medium,High,Active,Family & Friends,0,Peer Pressure,Yes
Hawaii,Male,Cigarette Use (Youth),9.9,48,33,28,6,Low,Medium,Moderate,Family & Friends,2,Peer Pressure,Yes
Nebraska,Female,Cigarette Use (Youth),6.2,40,19,33,1,High,Medium,Sedentary,Family & Friends,5,Curiosity,No
New Jersey,Female,Cigarette Use (Youth),16.5,34,36,18,0,High,High,Active,Family & Friends,4,Curiosity,Yes
Hawaii,Overall,Cigarette Use (Youth),11.0,51,6,18,3,Medium,Low,Sedentary,Professional Help,5,Curiosity,No
New Jersey,Overall,Cigarette Use (Youth),4.7,30,15,38,1,Medium,Medium,Moderate,None,6,Stress Relief,No
Louisiana,Male,Smokeless Tobacco Use (Youth),31.8,31,36,33,2,Low,Low,Sedentary,Family & Friends,6,Peer Pressure,No
South Carolina,Overall,Cigarette Use (Youth),15.7,28,33,27,1,High,Medium,Active,None,2,Family Influence,No
Hawaii,Overall,Cigarette Use (Youth),3.1,45,24,15,8,Low,Low,Moderate,None,9,Stress Relief,No
Louisiana,Overall,Cessation (Youth),64.8,59,27,13,3,Medium,Low,Active,Family & Friends,7,Peer Pressure,No
West Virginia,Male,Smokeless Tobacco Use (Youth),16.7,49,11,34,0,Medium,High,Sedentary,Professional Help,7,Media Influence,No
Minnesota,Female,Cigarette Use (Youth),8.7,52,23,4,7,Low,Low,Sedentary,None,2,Media Influence,No
South Carolina,Overall,Cigarette Use (Youth),3.2,48,33,35,3,Low,Medium,Sedentary,None,5,Curiosity,No
Louisiana,Overall,Cigarette Use (Youth),1.0,34,29,19,9,High,High,Moderate,Professional Help,8,Curiosity,No
Minnesota,Male,Cigarette Use (Youth),10.1,26,31,31,7,Low,Medium,Sedentary,Family & Friends,0,Curiosity,Yes
West Virginia,Overall,Cessation (Youth),70.7,27,1,25,7,High,High,Moderate,Family & Friends,1,Peer Pressure,Yes
South Carolina,Overall,Smokeless Tobacco Use (Youth),3.5,25,34,12,8,High,High,Sedentary,Professional Help,1,Curiosity,Yes
Arizona,Male,Smokeless Tobacco Use (Youth),5.8,38,18,12,9,Low,Low,Sedentary,Professional Help,4,Family Influence,Yes
New Jersey,Male,Cigarette Use (Youth),18.2,30,18,25,6,Low,Low,Moderate,None,5,Family Influence,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),0.1,22,6,33,3,High,Medium,Moderate,Family & Friends,2,Media Influence,Yes
Louisiana,Female,Cigarette Use (Youth),3.1,23,1,37,1,Low,Medium,Moderate,Family & Friends,3,Stress Relief,Yes
New Jersey,Male,Cigarette Use (Youth),1.1,47,30,28,5,High,Low,Active,Professional Help,9,Peer Pressure,No
Minnesota,Female,Smokeless Tobacco Use (Youth),0.0,48,4,9,3,High,Medium,Sedentary,Professional Help,1,Stress Relief,Yes
West Virginia,Male,Smokeless Tobacco Use (Youth),7.0,34,32,14,5,Medium,Medium,Active,Family & Friends,2,Curiosity,Yes
South Carolina,Overall,Cigarette Use (Youth),0.6,28,10,3,7,High,Low,Sedentary,Family & Friends,7,Peer Pressure,No
Minnesota,Overall,Smokeless Tobacco Use (Youth),3.4,37,5,5,2,Medium,High,Sedentary,Family & Friends,4,Curiosity,Yes
North Dakota,Male,Smokeless Tobacco Use (Youth),4.8,26,9,26,0,Low,Low,Sedentary,None,1,Stress Relief,No
Connecticut,Female,Smokeless Tobacco Use (Youth),0.0,19,5,18,4,High,Medium,Sedentary,None,9,Media Influence,No
Missouri,Overall,Cigarette Use (Youth),0.5,54,11,38,2,High,High,Active,None,9,Family Influence,No
Hawaii,Overall,Smokeless Tobacco Use (Youth),1.4,18,35,21,5,Low,Low,Sedentary,Family & Friends,1,Family Influence,Yes
Louisiana,Female,Cessation (Youth),71.8,21,27,39,2,Low,High,Active,Family & Friends,3,Family Influence,Yes
Louisiana,Overall,Smokeless Tobacco Use (Youth),3.5,53,4,16,0,Low,Medium,Moderate,Family & Friends,8,Peer Pressure,No
Missouri,Overall,Smokeless Tobacco Use (Youth),0.4,42,10,23,8,High,High,Active,Family & Friends,5,Curiosity,No
Virgin Islands,Overall,Smokeless Tobacco Use (Youth),7.3,20,39,29,4,Low,Medium,Sedentary,Family & Friends,0,Family Influence,Yes
Virgin Islands,Female,Smokeless Tobacco Use (Youth),0.1,26,33,10,1,Low,Low,Active,Professional Help,3,Curiosity,Yes
Virgin Islands,Male,Cigarette Use (Youth),18.2,39,38,5,1,Medium,High,Active,None,2,Family Influence,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),6.5,40,8,11,8,Medium,High,Moderate,Family & Friends,0,Stress Relief,Yes
South Dakota,Male,Smokeless Tobacco Use (Youth),7.7,29,24,29,0,High,High,Moderate,Professional Help,5,Media Influence,No
Ohio,Male,Smokeless Tobacco Use (Youth),16.3,27,39,27,9,Low,Medium,Moderate,None,9,Curiosity,No
North Carolina,Overall,Cigarette Use (Youth),2.0,51,33,34,2,Low,Low,Sedentary,Professional Help,0,Peer Pressure,Yes
Mississippi,Male,Cigarette Use (Youth),1.8,27,19,14,9,Medium,Low,Active,Family & Friends,0,Family Influence,Yes
Ohio,Male,Cigarette Use (Youth),9.3,47,2,10,6,High,Medium,Active,Professional Help,6,Stress Relief,No
South Dakota,Female,Smokeless Tobacco Use (Youth),0.2,39,11,11,0,Low,High,Moderate,Professional Help,0,Family Influence,Yes
Ohio,Female,Smokeless Tobacco Use (Youth),2.6,23,35,11,1,High,Medium,Sedentary,Professional Help,2,Media Influence,Yes
Georgia,Overall,Smokeless Tobacco Use (Youth),4.7,19,17,35,5,Medium,Medium,Sedentary,None,4,Family Influence,No
National (States and DC),Overall,Cessation (Youth),67.2,47,3,19,8,Low,Low,Sedentary,Professional Help,2,Media Influence,Yes
Ohio,Female,Smokeless Tobacco Use (Youth),0.7,19,22,24,8,Medium,Medium,Moderate,None,5,Curiosity,No
Mississippi,Female,Cigarette Use (Youth),1.8,49,35,1,7,Medium,High,Sedentary,Family & Friends,8,Media Influence,No
Georgia,Female,Cigarette Use (Youth),4.8,59,21,12,2,Medium,Medium,Sedentary,Family & Friends,1,Stress Relief,Yes
Ohio,Overall,Smokeless Tobacco Use (Youth),1.1,33,25,14,1,Low,Medium,Sedentary,None,6,Stress Relief,No
Mississippi,Male,Smokeless Tobacco Use (Youth),11.4,29,39,3,0,High,Medium,Moderate,Family & Friends,3,Curiosity,Yes
South Dakota,Overall,Cigarette Use (Youth),9.0,18,2,32,8,Low,High,Moderate,None,5,Peer Pressure,No
Ohio,Overall,Cigarette Use (Youth),0.1,25,1,16,4,Medium,Medium,Active,None,9,Stress Relief,No
South Dakota,Male,Smokeless Tobacco Use (Youth),0.5,30,7,38,2,High,Low,Active,Professional Help,9,Curiosity,No
Georgia,Overall,Smokeless Tobacco Use (Youth),14.6,32,20,10,9,Medium,Medium,Active,None,5,Curiosity,No
North Carolina,Male,Smokeless Tobacco Use (Youth),4.2,25,6,17,9,Low,Medium,Moderate,Family & Friends,7,Stress Relief,No
South Dakota,Overall,Cigarette Use (Youth),0.2,27,36,4,4,High,Low,Active,None,6,Curiosity,No
National (States and DC),Overall,Cessation (Youth),64.8,22,21,15,2,Low,Low,Sedentary,None,4,Curiosity,No
Mississippi,Female,Cigarette Use (Youth),11.3,36,35,33,8,High,Low,Moderate,None,6,Family Influence,No
Georgia,Female,Cigarette Use (Youth),1.0,55,36,39,0,Medium,Low,Moderate,Professional Help,5,Curiosity,No
Georgia,Overall,Smokeless Tobacco Use (Youth),8.6,28,8,10,0,Medium,Low,Active,None,4,Stress Relief,No
Ohio,Overall,Cigarette Use (Youth),25.2,37,4,7,2,Medium,Low,Sedentary,Family & Friends,8,Stress Relief,No
National (States and DC),Overall,Cessation (Youth),62.6,37,16,33,5,Low,High,Sedentary,Professional Help,3,Stress Relief,Yes
North Carolina,Male,Cigarette Use (Youth),9.9,38,3,17,1,Low,Medium,Moderate,Family & Friends,6,Family Influence,No
Ohio,Overall,Cigarette Use (Youth),8.1,35,7,12,0,Medium,High,Moderate,Professional Help,6,Stress Relief,No
Mississippi,Female,Cigarette Use (Youth),6.2,27,2,17,7,Medium,High,Active,Professional Help,2,Curiosity,Yes
Mississippi,Female,Cigarette Use (Youth),1.1,51,1,16,9,High,Low,Sedentary,Family & Friends,7,Media Influence,No
Georgia,Overall,Cigarette Use (Youth),1.8,43,1,14,8,High,Medium,Moderate,Family & Friends,8,Family Influence,No
Mississippi,Male,Cigarette Use (Youth),14.0,47,38,3,9,Low,High,Sedentary,Professional Help,4,Media Influence,Yes
South Dakota,Female,Smokeless Tobacco Use (Youth),4.3,26,7,30,0,High,Medium,Moderate,Professional Help,0,Peer Pressure,Yes
North Carolina,Overall,Cigarette Use (Youth),10.4,48,24,35,2,Low,Medium,Active,Family & Friends,0,Media Influence,Yes
North Carolina,Male,Smokeless Tobacco Use (Youth),0.7,59,5,26,4,Low,Low,Moderate,Professional Help,4,Curiosity,Yes
Georgia,Male,Cigarette Use (Youth),2.5,21,21,12,6,High,Medium,Moderate,Professional Help,1,Family Influence,Yes
Mississippi,Overall,Smokeless Tobacco Use (Youth),0.8,23,28,31,9,High,High,Moderate,Professional Help,1,Stress Relief,Yes
Mississippi,Male,Smokeless Tobacco Use (Youth),21.2,31,18,17,3,High,High,Active,Professional Help,5,Stress Relief,No
North Carolina,Female,Cigarette Use (Youth),2.2,21,24,37,5,Medium,Low,Active,Professional Help,4,Media Influence,Yes
Mississippi,Female,Smokeless Tobacco Use (Youth),3.1,43,32,8,0,Medium,High,Active,None,1,Media Influence,No
North Carolina,Overall,Cigarette Use (Youth),26.3,56,33,19,3,High,Low,Moderate,None,4,Media Influence,No
Mississippi,Overall,Cigarette Use (Youth),0.3,34,10,26,7,Medium,High,Moderate,Professional Help,3,Curiosity,Yes
Mississippi,Female,Smokeless Tobacco Use (Youth),0.3,36,9,4,4,Low,High,Sedentary,None,5,Stress Relief,No
North Carolina,Female,Smokeless Tobacco Use (Youth),4.6,23,33,15,7,Medium,Low,Active,Professional Help,0,Peer Pressure,Yes
Mississippi,Male,Smokeless Tobacco Use (Youth),4.6,46,33,14,0,Medium,Medium,Active,Professional Help,2,Curiosity,Yes
Mississippi,Overall,Smokeless Tobacco Use (Youth),15.0,28,7,30,9,Medium,Low,Moderate,Professional Help,4,Stress Relief,Yes
Ohio,Overall,Smokeless Tobacco Use (Youth),1.8,33,4,24,8,Low,Medium,Active,None,7,Stress Relief,No
Ohio,Male,Smokeless Tobacco Use (Youth),2.9,47,28,34,3,Low,Medium,Sedentary,Professional Help,1,Stress Relief,Yes
North Carolina,Female,Smokeless Tobacco Use (Youth),1.4,42,23,19,8,High,Low,Active,None,7,Stress Relief,No
Ohio,Male,Cigarette Use (Youth),27.3,57,32,3,7,Medium,Low,Active,Professional Help,7,Family Influence,No
South Dakota,Male,Smokeless Tobacco Use (Youth),3.3,28,16,4,7,Medium,Low,Active,None,5,Stress Relief,No
Ohio,Overall,Cigarette Use (Youth),1.0,24,10,11,1,Low,Medium,Sedentary,None,4,Media Influence,No
Ohio,Overall,Smokeless Tobacco Use (Youth),10.7,43,14,13,2,Medium,Medium,Sedentary,Family & Friends,6,Stress Relief,No
North Carolina,Female,Cigarette Use (Youth),1.6,39,39,18,9,Low,Medium,Active,Professional Help,5,Peer Pressure,No
North Carolina,Male,Smokeless Tobacco Use (Youth),8.4,42,36,19,8,Medium,Medium,Sedentary,None,8,Family Influence,No
Mississippi,Overall,Cigarette Use (Youth),1.5,36,34,33,2,High,Low,Moderate,Family & Friends,1,Peer Pressure,Yes
North Carolina,Overall,Smokeless Tobacco Use (Youth),2.3,48,24,38,7,Low,Low,Active,Professional Help,5,Peer Pressure,No
Mississippi,Overall,Smokeless Tobacco Use (Youth),3.0,43,18,3,4,Low,Medium,Sedentary,None,6,Peer Pressure,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),14.3,59,16,35,6,Low,High,Sedentary,Family & Friends,0,Curiosity,Yes
North Carolina,Male,Cigarette Use (Youth),11.8,58,37,1,3,Medium,Low,Sedentary,Family & Friends,8,Stress Relief,No
South Dakota,Female,Cigarette Use (Youth),2.3,53,25,35,7,High,High,Moderate,Family & Friends,7,Stress Relief,No
Mississippi,Male,Cigarette Use (Youth),0.5,40,8,36,3,Low,High,Sedentary,None,4,Peer Pressure,No
Mississippi,Overall,Cigarette Use (Youth),1.7,30,24,38,4,High,High,Moderate,Professional Help,4,Stress Relief,Yes
North Carolina,Male,Cigarette Use (Youth),28.6,42,20,39,0,Low,Medium,Moderate,Professional Help,8,Curiosity,No
North Carolina,Male,Smokeless Tobacco Use (Youth),3.1,19,30,25,9,High,Low,Sedentary,Family & Friends,1,Stress Relief,Yes
South Dakota,Female,Smokeless Tobacco Use (Youth),2.0,19,20,13,7,Medium,High,Moderate,Professional Help,5,Stress Relief,No
Mississippi,Female,Smokeless Tobacco Use (Youth),1.2,33,18,4,6,Medium,Medium,Sedentary,Family & Friends,3,Peer Pressure,Yes
Virgin Islands,Overall,Smokeless Tobacco Use (Youth),0.9,26,4,6,4,High,Low,Sedentary,None,3,Family Influence,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),0.4,45,36,11,5,High,Medium,Sedentary,None,7,Family Influence,No
Georgia,Male,Smokeless Tobacco Use (Youth),15.1,30,6,1,0,Medium,Low,Active,Professional Help,2,Stress Relief,Yes
Ohio,Overall,Smokeless Tobacco Use (Youth),3.1,52,3,8,7,High,Low,Moderate,Family & Friends,7,Peer Pressure,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),6.3,58,18,34,8,High,Medium,Moderate,None,9,Family Influence,No
Ohio,Female,Smokeless Tobacco Use (Youth),0.0,30,18,9,4,High,High,Sedentary,Professional Help,4,Family Influence,Yes
South Dakota,Female,Cigarette Use (Youth),9.4,48,23,36,9,Low,Low,Moderate,Family & Friends,1,Media Influence,Yes
National (States and DC),Overall,Cessation (Youth),60.6,38,35,39,6,High,Low,Sedentary,None,4,Family Influence,No
Ohio,Female,Smokeless Tobacco Use (Youth),1.1,49,6,37,9,Low,High,Moderate,Professional Help,3,Curiosity,Yes
North Carolina,Female,Smokeless Tobacco Use (Youth),0.4,51,26,21,3,Medium,Low,Moderate,Family & Friends,8,Media Influence,No
Georgia,Overall,Cigarette Use (Youth),26.1,25,21,20,5,Medium,High,Sedentary,Family & Friends,5,Peer Pressure,No
South Dakota,Overall,Smokeless Tobacco Use (Youth),0.4,58,24,38,1,Medium,Low,Sedentary,None,2,Media Influence,No
Georgia,Male,Cigarette Use (Youth),11.0,19,15,1,3,High,High,Sedentary,Professional Help,1,Family Influence,Yes
Ohio,Overall,Smokeless Tobacco Use (Youth),0.1,55,27,35,4,Medium,Low,Moderate,Professional Help,6,Media Influence,No
North Carolina,Overall,Cigarette Use (Youth),2.5,49,32,28,8,Low,Low,Active,Family & Friends,0,Peer Pressure,Yes
